legislatura,gruppoParlamentare,count
2,SEGRETARIO ORGANIZZATIVO,0
2,TESORIERE,0
2,VICEPRES. VICARIO,0
2,VICEPRES. VICARIO - PORTAVOCE,0
2,VICEPRESIDENTE,16
2,VICESEGRETARIO,4
2,VICETESORIERE,0
3,COMITATO DIRETTIVO,0
3,CONSIGLIERE,0
3,DELEGATO D'AULA,0
3,MEMBRO DEL C.D.,91
3,PORTAVOCE,0
3,PRESIDENTE,12
3,PRESIDENTE - PORTAVOCE,0
3,PRESIDENTE - PROTEMPORE,0
3,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
3,RAPPRESENTANTE PROVVISORIO,0
3,SEGRETARIO,17
3,SEGRETARIO AMM.,1
3,SEGRETARIO D'AULA,0
3,SEGRETARIO ORGANIZZATIVO,0
3,TESORIERE,0
3,VICEPRES. VICARIO,0
3,VICEPRES. VICARIO - PORTAVOCE,0
3,VICEPRESIDENTE,12
3,VICESEGRETARIO,2
3,VICETESORIERE,0
4,COMITATO DIRETTIVO,0
4,CONSIGLIERE,0
4,DELEGATO D'AULA,0
4,MEMBRO DEL C.D.,102
4,PORTAVOCE,0
4,PRESIDENTE,14
4,PRESIDENTE - PORTAVOCE,0
4,PRESIDENTE - PROTEMPORE,0
4,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
4,RAPPRESENTANTE PROVVISORIO,0
4,SEGRETARIO,18
4,SEGRETARIO AMM.,2
4,SEGRETARIO D'AULA,0
4,SEGRETARIO ORGANIZZATIVO,0
4,TESORIERE,0
4,VICEPRES. VICARIO,0
4,VICEPRES. VICARIO - PORTAVOCE,0
4,VICEPRESIDENTE,22
4,VICESEGRETARIO,3
4,VICETESORIERE,0
5,COMITATO DIRETTIVO,0
5,CONSIGLIERE,0
5,DELEGATO D'AULA,0
5,MEMBRO DEL C.D.,0
5,PORTAVOCE,0
5,PRESIDENTE,15
5,PRESIDENTE - PORTAVOCE,0
5,PRESIDENTE - PROTEMPORE,0
5,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
5,RAPPRESENTANTE PROVVISORIO,0
5,SEGRETARIO,20
5,SEGRETARIO AMM.,2
5,SEGRETARIO D'AULA,0
5,SEGRETARIO ORGANIZZATIVO,0
5,TESORIERE,0
5,VICEPRES. VICARIO,0
5,VICEPRES. VICARIO - PORTAVOCE,0
5,VICEPRESIDENTE,21
5,VICESEGRETARIO,1
5,VICETESORIERE,0
6,COMITATO DIRETTIVO,0
6,CONSIGLIERE,0
6,DELEGATO D'AULA,0
6,MEMBRO DEL C.D.,0
6,PORTAVOCE,0
6,PRESIDENTE,14
6,PRESIDENTE - PORTAVOCE,0
6,PRESIDENTE - PROTEMPORE,0
6,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
6,RAPPRESENTANTE PROVVISORIO,0
6,SEGRETARIO,23
6,SEGRETARIO AMM.,3
6,SEGRETARIO D'AULA,0
6,SEGRETARIO ORGANIZZATIVO,0
6,TESORIERE,0
6,VICEPRES. VICARIO,0
6,VICEPRES. VICARIO - PORTAVOCE,0
6,VICEPRESIDENTE,23
6,VICESEGRETARIO,0
6,VICETESORIERE,0
7,COMITATO DIRETTIVO,0
7,CONSIGLIERE,0
7,DELEGATO D'AULA,0
7,MEMBRO DEL C.D.,0
7,PORTAVOCE,0
7,PRESIDENTE,19
7,PRESIDENTE - PORTAVOCE,0
7,PRESIDENTE - PROTEMPORE,0
7,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
7,RAPPRESENTANTE PROVVISORIO,0
7,SEGRETARIO,14
7,SEGRETARIO AMM.,1
7,SEGRETARIO D'AULA,0
7,SEGRETARIO ORGANIZZATIVO,0
7,TESORIERE,0
7,VICEPRES. VICARIO,0
7,VICEPRES. VICARIO - PORTAVOCE,0
7,VICEPRESIDENTE,20
7,VICESEGRETARIO,0
7,VICETESORIERE,0
8,COMITATO DIRETTIVO,0
8,CONSIGLIERE,0
8,DELEGATO D'AULA,0
8,MEMBRO DEL C.D.,0
8,PORTAVOCE,0
8,PRESIDENTE,14
8,PRESIDENTE - PORTAVOCE,0
8,PRESIDENTE - PROTEMPORE,0
8,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
8,RAPPRESENTANTE PROVVISORIO,0
8,SEGRETARIO,22
8,SEGRETARIO AMM.,3
8,SEGRETARIO D'AULA,0
8,SEGRETARIO ORGANIZZATIVO,0
8,TESORIERE,0
8,VICEPRES. VICARIO,0
8,VICEPRES. VICARIO - PORTAVOCE,0
8,VICEPRESIDENTE,24
8,VICESEGRETARIO,0
8,VICETESORIERE,0
9,COMITATO DIRETTIVO,0
9,CONSIGLIERE,0
9,DELEGATO D'AULA,0
9,MEMBRO DEL C.D.,0
9,PORTAVOCE,0
9,PRESIDENTE,17
9,PRESIDENTE - PORTAVOCE,0
9,PRESIDENTE - PROTEMPORE,0
9,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
9,RAPPRESENTANTE PROVVISORIO,0
9,SEGRETARIO,23
9,SEGRETARIO AMM.,2
9,SEGRETARIO D'AULA,0
9,SEGRETARIO ORGANIZZATIVO,0
9,TESORIERE,0
9,VICEPRES. VICARIO,1
9,VICEPRES. VICARIO - PORTAVOCE,0
9,VICEPRESIDENTE,26
9,VICESEGRETARIO,0
9,VICETESORIERE,0
10,COMITATO DIRETTIVO,0
10,CONSIGLIERE,0
10,DELEGATO D'AULA,0
10,MEMBRO DEL C.D.,0
10,PORTAVOCE,0
10,PRESIDENTE,23
10,PRESIDENTE - PORTAVOCE,0
10,PRESIDENTE - PROTEMPORE,0
10,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
10,RAPPRESENTANTE PROVVISORIO,0
10,SEGRETARIO,0
10,SEGRETARIO AMM.,0
10,SEGRETARIO D'AULA,0
10,SEGRETARIO ORGANIZZATIVO,0
10,TESORIERE,0
10,VICEPRES. VICARIO,0
10,VICEPRES. VICARIO - PORTAVOCE,0
10,VICEPRESIDENTE,41
10,VICESEGRETARIO,0
10,VICETESORIERE,0
11,COMITATO DIRETTIVO,0
11,CONSIGLIERE,0
11,DELEGATO D'AULA,0
11,MEMBRO DEL C.D.,31
11,PORTAVOCE,1
11,PRESIDENTE,22
11,PRESIDENTE - PORTAVOCE,0
11,PRESIDENTE - PROTEMPORE,0
11,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
11,RAPPRESENTANTE PROVVISORIO,0
11,SEGRETARIO,12
11,SEGRETARIO AMM.,2
11,SEGRETARIO D'AULA,1
11,SEGRETARIO ORGANIZZATIVO,0
11,TESORIERE,0
11,VICEPRES. VICARIO,3
11,VICEPRES. VICARIO - PORTAVOCE,0
11,VICEPRESIDENTE,24
11,VICESEGRETARIO,0
11,VICETESORIERE,0
12,COMITATO DIRETTIVO,0
12,CONSIGLIERE,0
12,DELEGATO D'AULA,0
12,MEMBRO DEL C.D.,46
12,PORTAVOCE,0
12,PRESIDENTE,20
12,PRESIDENTE - PORTAVOCE,0
12,PRESIDENTE - PROTEMPORE,0
12,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
12,RAPPRESENTANTE PROVVISORIO,0
12,SEGRETARIO,5
12,SEGRETARIO AMM.,3
12,SEGRETARIO D'AULA,0
12,SEGRETARIO ORGANIZZATIVO,1
12,TESORIERE,2
12,VICEPRES. VICARIO,5
12,VICEPRES. VICARIO - PORTAVOCE,0
12,VICEPRESIDENTE,32
12,VICESEGRETARIO,0
12,VICETESORIERE,0
13,COMITATO DIRETTIVO,1
13,CONSIGLIERE,0
13,DELEGATO D'AULA,0
13,MEMBRO DEL C.D.,95
13,PORTAVOCE,0
13,PRESIDENTE,18
13,PRESIDENTE - PORTAVOCE,0
13,PRESIDENTE - PROTEMPORE,0
13,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,0
13,RAPPRESENTANTE PROVVISORIO,0
13,SEGRETARIO,12
13,SEGRETARIO AMM.,7
13,SEGRETARIO D'AULA,0
13,SEGRETARIO ORGANIZZATIVO,0
13,TESORIERE,6
13,VICEPRES. VICARIO,12
13,VICEPRES. VICARIO - PORTAVOCE,0
13,VICEPRESIDENTE,51
13,VICESEGRETARIO,0
13,VICETESORIERE,0
14,COMITATO DIRETTIVO,0
14,CONSIGLIERE,0
14,DELEGATO D'AULA,21
14,MEMBRO DEL C.D.,121
14,PORTAVOCE,0
14,PRESIDENTE,12
14,PRESIDENTE - PORTAVOCE,0
14,PRESIDENTE - PROTEMPORE,0
14,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,9
14,RAPPRESENTANTE PROVVISORIO,0
14,SEGRETARIO,6
14,SEGRETARIO AMM.,2
14,SEGRETARIO D'AULA,0
14,SEGRETARIO ORGANIZZATIVO,0
14,TESORIERE,3
14,VICEPRES. VICARIO,3
14,VICEPRES. VICARIO - PORTAVOCE,0
14,VICEPRESIDENTE,41
14,VICESEGRETARIO,0
14,VICETESORIERE,0
15,COMITATO DIRETTIVO,0
15,CONSIGLIERE,12
15,DELEGATO D'AULA,22
15,MEMBRO DEL C.D.,12
15,PORTAVOCE,0
15,PRESIDENTE,16
15,PRESIDENTE - PORTAVOCE,0
15,PRESIDENTE - PROTEMPORE,0
15,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,10
15,RAPPRESENTANTE PROVVISORIO,0
15,SEGRETARIO,6
15,SEGRETARIO AMM.,1
15,SEGRETARIO D'AULA,0
15,SEGRETARIO ORGANIZZATIVO,0
15,TESORIERE,4
15,VICEPRES. VICARIO,5
15,VICEPRES. VICARIO - PORTAVOCE,0
15,VICEPRESIDENTE,33
15,VICESEGRETARIO,0
15,VICETESORIERE,0
16,COMITATO DIRETTIVO,0
16,CONSIGLIERE,1
16,DELEGATO D'AULA,22
16,MEMBRO DEL C.D.,64
16,PORTAVOCE,1
16,PRESIDENTE,15
16,PRESIDENTE - PORTAVOCE,0
16,PRESIDENTE - PROTEMPORE,0
16,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,10
16,RAPPRESENTANTE PROVVISORIO,0
16,SEGRETARIO,8
16,SEGRETARIO AMM.,1
16,SEGRETARIO D'AULA,1
16,SEGRETARIO ORGANIZZATIVO,0
16,TESORIERE,7
16,VICEPRES. VICARIO,13
16,VICEPRES. VICARIO - PORTAVOCE,0
16,VICEPRESIDENTE,38
16,VICESEGRETARIO,0
16,VICETESORIERE,2
17,COMITATO DIRETTIVO,0
17,CONSIGLIERE,0
17,DELEGATO D'AULA,31
17,MEMBRO DEL C.D.,17
17,PORTAVOCE,2
17,PRESIDENTE,25
17,PRESIDENTE - PORTAVOCE,0
17,PRESIDENTE - PROTEMPORE,1
17,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,10
17,RAPPRESENTANTE PROVVISORIO,1
17,SEGRETARIO,12
17,SEGRETARIO AMM.,0
17,SEGRETARIO D'AULA,2
17,SEGRETARIO ORGANIZZATIVO,0
17,TESORIERE,23
17,VICEPRES. VICARIO,12
17,VICEPRES. VICARIO - PORTAVOCE,13
17,VICEPRESIDENTE,41
17,VICESEGRETARIO,0
17,VICETESORIERE,1
18,COMITATO DIRETTIVO,0
18,CONSIGLIERE,0
18,DELEGATO D'AULA,21
18,MEMBRO DEL C.D.,1
18,PORTAVOCE,1
18,PRESIDENTE,12
18,PRESIDENTE - PORTAVOCE,1
18,PRESIDENTE - PROTEMPORE,0
18,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,17
18,RAPPRESENTANTE PROVVISORIO,0
18,SEGRETARIO,15
18,SEGRETARIO AMM.,0
18,SEGRETARIO D'AULA,4
18,SEGRETARIO ORGANIZZATIVO,0
18,TESORIERE,14
18,VICEPRES. VICARIO,12
18,VICEPRES. VICARIO - PORTAVOCE,0
18,VICEPRESIDENTE,50
18,VICESEGRETARIO,0
18,VICETESORIERE,0
19,COMITATO DIRETTIVO,0
19,CONSIGLIERE,0
19,DELEGATO D'AULA,13
19,MEMBRO DEL C.D.,0
19,PORTAVOCE,0
19,PRESIDENTE,8
19,PRESIDENTE - PORTAVOCE,1
19,PRESIDENTE - PROTEMPORE,0
19,RAPPRESENTANTE COMPONENTE GRUPPO MISTO,2
19,RAPPRESENTANTE PROVVISORIO,0
19,SEGRETARIO,7
19,SEGRETARIO AMM.,0
19,SEGRETARIO D'AULA,2
19,SEGRETARIO ORGANIZZATIVO,0
19,TESORIERE,7
19,VICEPRES. VICARIO,5
19,VICEPRES. VICARIO - PORTAVOCE,0
19,VICEPRESIDENTE,17
19,VICESEGRETARIO,0
19,VICETESORIERE,0
