cognome,nome,legislatura,gruppoParlamentare
RIVA,GIUSEPPE,1,MEMBRO DEL C.D.
RIVA,GIUSEPPE,2,MEMBRO DEL C.D.
ROCCHETTI,ERCOLE,3,MEMBRO DEL C.D.
ROSSI,PAOLO,2,PRESIDENTE
SABATINI,ARMANDO,1,MEMBRO DEL C.D.
SALERNO,NICOLA,costituente,MEMBRO DEL C.D.
SCARASCIA MUGNOZZA,CARLO,3,VICESEGRETARIO
SCIAUDONE,FRANCESCO,2,MEMBRO DEL C.D.
SPADAZZI,ODO,2,SEGRETARIO
SPADAZZI,ODO,3,SEGRETARIO
SULOTTO,EGIDIO,3,SEGRETARIO
SULOTTO,EGIDIO,3,MEMBRO DEL C.D.
TOGNONI,MAURO,2,MEMBRO DEL C.D.
TOGNONI,MAURO,3,MEMBRO DEL C.D.
TOGNONI,MAURO,3,SEGRETARIO
TOSATO,EGIDIO,1,MEMBRO DEL C.D.
TOSATO,EGIDIO,2,MEMBRO DEL C.D.
GOZZI,RENATO,2,MEMBRO DEL C.D.
SCALIA,VITO,3,MEMBRO DEL C.D.
BOZZI,ALDO,costituente,SEGRETARIO
GULLO,FAUSTO,1,VICEPRESIDENTE
GULLO,FAUSTO,2,VICEPRESIDENTE
GULLO,FAUSTO,3,VICEPRESIDENTE
CARPANO MAGLIOLI,ERNESTO,costituente,MEMBRO DEL C.D.
BENVENUTI,LODOVICO SFORZA,1,MEMBRO DEL C.D.
D'ONOFRIO,EDOARDO,2,MEMBRO DEL C.D.
D'ONOFRIO,EDOARDO,3,MEMBRO DEL C.D.
TROISI,MICHELE,3,MEMBRO DEL C.D.
RODINO' DI MIGLIONE,MARIO,costituente,SEGRETARIO
DUGONI,EUGENIO,2,MEMBRO DEL C.D.
GUERRIERI,FILIPPO,1,MEMBRO DEL C.D.
AVANZINI,ENNIO,costituente,MEMBRO DEL C.D.
AVANZINI,ENNIO,1,VICEPRESIDENTE
GULLO,ROCCO,costituente,PRESIDENTE
SCOCA,SALVATORE,1,MEMBRO DEL C.D.
SCOCA,SALVATORE,2,MEMBRO DEL C.D.
MINIO,ENRICO,costituente,SEGRETARIO
GRASSI,GIUSEPPE,costituente,VICEPRESIDENTE
BUCCIARELLI DUCCI,BRUNETTO,1,MEMBRO DEL C.D.
BUCCIARELLI DUCCI,BRUNETTO,2,VICEPRESIDENTE
BUCCIARELLI DUCCI,BRUNETTO,2,MEMBRO DEL C.D.
LACONI,RENZO,1,MEMBRO DEL C.D.
LACONI,RENZO,1,SEGRETARIO
LACONI,RENZO,2,SEGRETARIO
LACONI,RENZO,2,MEMBRO DEL C.D.
LACONI,RENZO,3,MEMBRO DEL C.D.
CAFIERO,RAFFAELE,2,MEMBRO DEL C.D.
CAFIERO,RAFFAELE,3,VICEPRESIDENTE
VENDITTI,MILZIADE,costituente,VICEPRESIDENTE
CANNIZZO,BARTOLOMEO,costituente,VICEPRESIDENTE
BUSETTO,FRANCO,3,MEMBRO DEL C.D.
RUSSO PEREZ,GUIDO,1,PRESIDENTE
TREVES,PAOLO,costituente,MEMBRO DEL C.D.
TREVES,PAOLO,1,MEMBRO DEL C.D.
PETRILLI,RAFFAELE PIO,1,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,costituente,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,2,SEGRETARIO
MALAGUGINI,ALCIDE,2,MEMBRO DEL C.D.
MALAGUGINI,ALCIDE,3,MEMBRO DEL C.D.
GUIDI,ALBERTO,3,MEMBRO DEL C.D.
SIMONINI,ALBERTO,2,PRESIDENTE
VIGORELLI,EZIO,1,PRESIDENTE
VIGORELLI,EZIO,1,MEMBRO DEL C.D.
VIGORELLI,EZIO,2,PRESIDENTE
GALATI,VITO GIUSEPPE,1,MEMBRO DEL C.D.
CAIATI,ITALO GIULIO,2,VICESEGRETARIO
CAIATI,ITALO GIULIO,2,MEMBRO DEL C.D.
TAMBRONI ARMAROLI,FERDINANDO,1,MEMBRO DEL C.D.
BERNARDI,GUIDO,2,MEMBRO DEL C.D.
FORA,ALDOVINO,2,MEMBRO DEL C.D.
COPPA,EZIO,costituente,SEGRETARIO
COPPA,EZIO,1,VICEPRESIDENTE
SELVAGGI,VINCENZO,costituente,VICEPRESIDENTE
SELVAGGI,VINCENZO,2,VICEPRESIDENTE
RESTA,RAFFAELE,2,MEMBRO DEL C.D.
RODINO',UGO,costituente,MEMBRO DEL C.D.
CORSI,ANGELO,costituente,MEMBRO DEL C.D.
LEONE,RAFFAELE,3,MEMBRO DEL C.D.
NEGARVILLE,CELESTE CARLO,3,MEMBRO DEL C.D.
MAROTTA,MICHELE ENRICO,2,MEMBRO DEL C.D.
ALLEGATO,LUIGI,costituente,MEMBRO DEL C.D.
CORTESE,PASQUALE,2,MEMBRO DEL C.D.
MORELLI,LUIGI,2,MEMBRO DEL C.D.
ALICATA,MARIO,2,MEMBRO DEL C.D.
ALICATA,MARIO,3,MEMBRO DEL C.D.
MARTINO,GAETANO,2,VICEPRESIDENTE
CUCCO,ALFREDO,2,MEMBRO DEL C.D.
TONETTI,GIOVANNI,3,MEMBRO DEL C.D.
SALVATORE,ATTILIO,costituente,MEMBRO DEL C.D.
SALVATORE,ATTILIO,1,MEMBRO DEL C.D.
DEGLI OCCHI,CESARE,2,MEMBRO DEL C.D.
DEGLI OCCHI,CESARE,3,VICEPRESIDENTE
GUERRIERI,EMANUELE,1,MEMBRO DEL C.D.
ROMAGNOLI,LUCIANO,3,MEMBRO DEL C.D.
REPOSSI,CARLO,2,MEMBRO DEL C.D.
REPOSSI,CARLO,3,MEMBRO DEL C.D.
CIUFOLI,DOMENICO,1,MEMBRO DEL C.D.
BELLIARDI,CHIAFFREDO,1,MEMBRO DEL C.D.
CRUCIANI,ACHILLE,3,MEMBRO DEL C.D.
LOZZA,STELLIO,2,MEMBRO DEL C.D.
CLERICI,EDOARDO,1,MEMBRO DEL C.D.
ALMIRANTE,GIORGIO,2,VICEPRESIDENTE
TOGLIATTI,PALMIRO,costituente,PRESIDENTE
TOGLIATTI,PALMIRO,1,PRESIDENTE
TOGLIATTI,PALMIRO,2,PRESIDENTE
TOGLIATTI,PALMIRO,3,PRESIDENTE
CANTALUPO,ROBERTO,2,VICEPRESIDENTE
CANTALUPO,ROBERTO,2,MEMBRO DEL C.D.
DE GRADA,RAFFAELE,3,SEGRETARIO
RESTIVO,FRANCESCO,3,MEMBRO DEL C.D.
BARBERA,AUGUSTO ANTONIO,11,MEMBRO DEL C.D.
CAPRIA,NICOLA,10,PRESIDENTE
CAPRIA,NICOLA,11,PRESIDENTE
CICCHITTO,FABRIZIO,14,MEMBRO DEL C.D.
CICCHITTO,FABRIZIO,14,VICEPRESIDENTE
CICCHITTO,FABRIZIO,16,PRESIDENTE
ALOI,FORTUNATO,12,MEMBRO DEL C.D.
CIRINO POMICINO,PAOLO,15,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
CIRINO POMICINO,PAOLO,15,VICEPRESIDENTE
CIRINO POMICINO,PAOLO,15,PRESIDENTE
COSTA,RAFFAELE,12,PRESIDENTE
CAVALIERE,STEFANO,3,SEGRETARIO
DE MICHELIS,GIANNI,10,PRESIDENTE
CECCHERINI,GUIDO,1,SEGRETARIO
CECCHERINI,GUIDO,2,SEGRETARIO
GIULIARI,FRANCESCO,11,SEGRETARIO
CERULLO,PIETRO,12,VICEPRESIDENTE
MACCIOTTA,GIORGIO,10,VICEPRESIDENTE
MAGRI,LUCIO,10,PRESIDENTE
MAGRI,LUCIO,11,PRESIDENTE
MARTINELLI,MARIO,2,MEMBRO DEL C.D.
MARTINELLI,MARIO,3,MEMBRO DEL C.D.
MASTELLA,MARIO CLEMENTE,12,PRESIDENTE
MELLINI,MAURO,10,VICEPRESIDENTE
PANNELLA,GIACINTO,11,PRESIDENTE
SANESE,NICOLAMARIA,11,MEMBRO DEL C.D.
SEGNI,MARIOTTO GIOVANNI BATTISTA,12,PRESIDENTE
TASSONE,MARIO,13,VICEPRESIDENTE
TASSONE,MARIO,14,MEMBRO DEL C.D.
TASSONE,MARIO,14,DELEGATO D'AULA
TASSONE,MARIO,16,MEMBRO DEL C.D.
TASSONE,MARIO,16,DELEGATO D'AULA
TASSONE,MARIO,16,VICEPRESIDENTE
ZANIBONI,ANTONINO,10,VICEPRESIDENTE
ZARRO,GIOVANNI,11,MEMBRO DEL C.D.
BUTTE',ALESSANDRO,2,MEMBRO DEL C.D.
BUTTE',ALESSANDRO,3,MEMBRO DEL C.D.
CAMANGI,LUDOVICO,costituente,SEGRETARIO
CODACCI PISANELLI,GIUSEPPE,1,MEMBRO DEL C.D.
CODACCI PISANELLI,GIUSEPPE,2,MEMBRO DEL C.D.
CODACCI PISANELLI,GIUSEPPE,2,VICEPRESIDENTE
CODACCI PISANELLI,GIUSEPPE,3,VICEPRESIDENTE
ADAMOLI,GELASIO,3,MEMBRO DEL C.D.
AGRIMI,ALESSANDRO,2,MEMBRO DEL C.D.
ANGELINI,ARMANDO,costituente,MEMBRO DEL C.D.
ARIOSTO,EGIDIO,1,SEGRETARIO
ARIOSTO,EGIDIO,2,SEGRETARIO
ARIOSTO,EGIDIO,3,MEMBRO DEL C.D.
BASSO,LELIO,2,MEMBRO DEL C.D.
BASSO,LELIO,3,MEMBRO DEL C.D.
BELOTTI,GIUSEPPE,3,VICEPRESIDENTE
BELOTTI,GIUSEPPE,3,MEMBRO DEL C.D.
BERLINGUER,LUIGI,12,PRESIDENTE
COLUCCI,FRANCESCO,10,VICEPRESIDENTE
BETTIOL,GIUSEPPE MARIA,costituente,MEMBRO DEL C.D.
BETTIOL,GIUSEPPE MARIA,1,PRESIDENTE
BETTIOL,GIUSEPPE MARIA,1,MEMBRO DEL C.D.
BETTIOL,GIUSEPPE MARIA,2,MEMBRO DEL C.D.
BETTIOL,GIUSEPPE MARIA,3,MEMBRO DEL C.D.
BETTOLI,MARIO,3,SEGRETARIO
CONCAS,FRANCO,3,MEMBRO DEL C.D.
CODIGNOLA,TRISTANO,3,MEMBRO DEL C.D.
COLOMBI,ARTURO RAFFAELLO,3,MEMBRO DEL C.D.
ERMINI,GIUSEPPE,1,MEMBRO DEL C.D.
FERRAROTTI,FRANCESCO,3,SEGRETARIO
GARLATO,GIUSEPPE,2,MEMBRO DEL C.D.
GIANQUINTO,GIOVANNI BATTISTA,2,MEMBRO DEL C.D.
GONELLA,GUIDO,2,MEMBRO DEL C.D.
GRAY,EZIO MARIA,2,VICEPRESIDENTE
GRONCHI,GIOVANNI,costituente,PRESIDENTE
JERVOLINO,ANGELO RAFFAELE,1,VICEPRESIDENTE
JERVOLINO,ANGELO RAFFAELE,1,MEMBRO DEL C.D.
JERVOLINO,ANGELO RAFFAELE,2,MEMBRO DEL C.D.
LAMI STARNUTI,EDGARDO,costituente,SEGRETARIO
LATANZA,DOMENICO,2,MEMBRO DEL C.D.
COVELLI,ALFREDO,costituente,SEGRETARIO
COVELLI,ALFREDO,1,PRESIDENTE
COVELLI,ALFREDO,2,PRESIDENTE
COVELLI,ALFREDO,3,VICEPRESIDENTE
COVELLI,ALFREDO,3,PRESIDENTE
MONTINI,LODOVICO,2,MEMBRO DEL C.D.
NENNI,PIETRO,costituente,PRESIDENTE
NENNI,PIETRO,1,PRESIDENTE
NENNI,PIETRO,2,PRESIDENTE
CRISTOFORI,ADOLFO LORIS,10,VICEPRESIDENTE
PESSI,SECONDO,2,MEMBRO DEL C.D.
PICCIONI,ATTILIO,2,PRESIDENTE
PIERACCINI,GIOVANNI,2,MEMBRO DEL C.D.
PREZIOSI,COSTANTINO,costituente,SEGRETARIO
PUGLIESE,VITTORIO,2,MEMBRO DEL C.D.
SARTI,ADOLFO,10,VICEPRESIDENTE
SCAGLIA,GIOVANNI BATTISTA,1,MEMBRO DEL C.D.
SCAGLIA,GIOVANNI BATTISTA,2,MEMBRO DEL C.D.
ANDREOTTI,GIULIO,costituente,SEGRETARIO
CABRAS,ANTONIO,14,MEMBRO DEL C.D.
CUSUMANO,STEFANO,14,VICEPRESIDENTE
CUSUMANO,STEFANO,14,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
FALOMI,ANTONIO,15,VICEPRESIDENTE
GAMBINI,SERGIO,14,MEMBRO DEL C.D.
LA LOGGIA,ENRICO,15,VICEPRESIDENTE
LA LOGGIA,ENRICO,16,VICEPRESIDENTE
LEONE,GIOVANNI,1,MEMBRO DEL C.D.
SPATARO,GIUSEPPE,1,PRESIDENTE
MINUCCI,ADALBERTO,10,VICEPRESIDENTE
PIANETTA,ENRICO,16,MEMBRO DEL C.D.
PICANO,ANGELO,15,VICEPRESIDENTE
ROGNONI,CARLO,14,MEMBRO DEL C.D.
RONCONI,MAURIZIO,15,DELEGATO D'AULA
RONCONI,MAURIZIO,15,VICEPRESIDENTE
ROSSI,SERGIO,14,SEGRETARIO AMM.
ROSSI,SERGIO,14,MEMBRO DEL C.D.
TAVIANI,PAOLO EMILIO,costituente,SEGRETARIO
AMENDOLA,GIORGIO,costituente,MEMBRO DEL C.D.
AMENDOLA,GIORGIO,1,MEMBRO DEL C.D.
AMENDOLA,GIORGIO,2,MEMBRO DEL C.D.
TOGNI,GIUSEPPE,costituente,MEMBRO DEL C.D.
VALSECCHI,ATHOS,2,MEMBRO DEL C.D.
VEDOVATO,GIUSEPPE,2,MEMBRO DEL C.D.
CICCIOMESSERE,ROBERTO,11,VICEPRESIDENTE
ABBATE,FABRIZIO,11,SEGRETARIO AMM.
ANDO',SALVATORE,10,PRESIDENTE
ANDO',SALVATORE,11,PRESIDENTE
AUGELLO,GIACOMO SEBASTIANO,10,VICEPRESIDENTE
BASSANINI,FRANCO,10,VICEPRESIDENTE
BASSANINI,FRANCO,10,PRESIDENTE
BASSANINI,FRANCO,11,MEMBRO DEL C.D.
BOATO,MARCO,14,PRESIDENTE
BOATO,MARCO,15,PRESIDENTE
ERMELLI CUPELLI,ENRICO,10,VICEPRESIDENTE
GITTI,TARCISIO,10,VICEPRESIDENTE
LA GANGA,GIUSEPPE,11,PRESIDENTE
MADAUDO,DINO,11,PRESIDENTE
MARTINAT,UGO,10,VICEPRESIDENTE
MARTINAT,UGO,11,VICEPRESIDENTE
DEL PENNINO,ANTONIO,10,PRESIDENTE
DEL PENNINO,ANTONIO,11,PRESIDENTE
POTI',DAMIANO,11,VICEPRESIDENTE
RODOTA',STEFANO,10,PRESIDENTE
RUSSO,RAFFAELE,10,VICEPRESIDENTE
D'UVA,FRANCESCO,18,PRESIDENTE - PORTAVOCE
D'UVA,FRANCESCO,18,SEGRETARIO
GIARRIZZO,ANDREA,18,DELEGATO D'AULA
MARINO,BERNARDO,18,VICEPRESIDENTE
BORROMEO D'ADDA,GIOVANNI ANDREA,6,SEGRETARIO
BORROMEO D'ADDA,GIOVANNI ANDREA,7,SEGRETARIO
SILVESTRI,PRIMO,4,MEMBRO DEL C.D.
SILVESTRI,PRIMO,5,SEGRETARIO
SILVESTRI,PRIMO,5,VICEPRESIDENTE
SULOTTO,EGIDIO,4,MEMBRO DEL C.D.
TOGNONI,MAURO,4,SEGRETARIO
ZAPPA,FRANCO,4,MEMBRO DEL C.D.
CUCCHI,ANGELO,4,MEMBRO DEL C.D.
MILANI,ELISEO,8,PRESIDENTE
BOZZI,ALDO,4,MEMBRO DEL C.D.
BOZZI,ALDO,5,PRESIDENTE
BOZZI,ALDO,6,PRESIDENTE
BOZZI,ALDO,7,PRESIDENTE
BOZZI,ALDO,8,PRESIDENTE
BOZZI,ALDO,9,PRESIDENTE
DE PASCALIS,LUCIANO,4,MEMBRO DEL C.D.
DE PASCALIS,LUCIANO,4,SEGRETARIO
DE PASCALIS,LUCIANO,4,VICEPRESIDENTE
BRANDI,LUCIO MARIANO,4,SEGRETARIO
BRANDI,LUCIO MARIANO,5,SEGRETARIO
BRANDI,LUCIO MARIANO,6,SEGRETARIO
CORTESE,GUIDO,4,VICEPRESIDENTE
BRINI,FEDERICO,7,SEGRETARIO
BUCALOSSI,PIETRO,5,VICEPRESIDENTE
BUCALOSSI,PIETRO,6,VICEPRESIDENTE
LACONI,RENZO,4,VICEPRESIDENTE
CANNIZZO,BARTOLOMEO,4,VICEPRESIDENTE
BUSETTO,FRANCO,4,SEGRETARIO
BUZZI,CARLO,6,SEGRETARIO
CASSANDRO,MANLIO LIVIO,4,MEMBRO DEL C.D.
CASSANDRO,MANLIO LIVIO,5,VICEPRESIDENTE
FABBRI,RICCARDO,4,MEMBRO DEL C.D.
GOEHRING,GIULIO,4,MEMBRO DEL C.D.
CANESTRARI,ALESSANDRO,4,VICESEGRETARIO
CANESTRARI,ALESSANDRO,4,MEMBRO DEL C.D.
CANESTRARI,ALESSANDRO,5,SEGRETARIO
CANESTRARI,ALESSANDRO,6,SEGRETARIO
MARTINO,GAETANO,4,MEMBRO DEL C.D.
CUCCO,ALFREDO,4,MEMBRO DEL C.D.
TAORMINA,FRANCESCO,5,PRESIDENTE
CARIGLIA,ANTONIO,6,PRESIDENTE
ANGELINO,PAOLO,4,MEMBRO DEL C.D.
CRUCIANI,ACHILLE,4,MEMBRO DEL C.D.
ALMIRANTE,GIORGIO,5,PRESIDENTE
ALMIRANTE,GIORGIO,7,PRESIDENTE
TOGLIATTI,PALMIRO,4,PRESIDENTE
CANTALUPO,ROBERTO,4,MEMBRO DEL C.D.
CANTALUPO,ROBERTO,4,VICEPRESIDENTE
CANTALUPO,ROBERTO,5,VICEPRESIDENTE
CARUSO,ANTONIO,6,SEGRETARIO
BASTIANELLI,RENATO,4,MEMBRO DEL C.D.
MICELI,GENNARO,4,VICEPRESIDENTE
RESTIVO,FRANCESCO,4,MEMBRO DEL C.D.
ALBORGHETTI,GUIDO,9,SEGRETARIO
ALINOVI,ABDON,8,VICEPRESIDENTE
BELARDI,ERIASE,8,SEGRETARIO
CAPPELLI,LORENZO,8,SEGRETARIO
CECCHI,ALBERTO,7,SEGRETARIO
CECCHI,ALBERTO,8,SEGRETARIO
CERQUETTI,ADRIANO,7,VICEPRESIDENTE
CERRINA FERONI,GIANLUCA,9,SEGRETARIO
CIRINO POMICINO,PAOLO,8,VICEPRESIDENTE
COSTA,RAFFAELE,7,VICEPRESIDENTE
CRESCO,ANGELO GAETANO,9,VICEPRESIDENTE
FERRARI,MARTE,8,SEGRETARIO
FERRARI,MARTE,9,SEGRETARIO
FERRARI,SILVESTRO ANDREINO,8,SEGRETARIO
FERRARI,SILVESTRO ANDREINO,8,SEGRETARIO AMM.
FERRARI,SILVESTRO ANDREINO,8,VICEPRESIDENTE
FERRARI,SILVESTRO ANDREINO,9,VICEPRESIDENTE
FORNASARI,GIUSEPPE,9,VICEPRESIDENTE
GORLA,MASSIMO,7,PRESIDENTE
GORLA,MASSIMO,9,PRESIDENTE
LABRIOLA,SILVANO,8,PRESIDENTE
MACCIOTTA,GIORGIO,9,SEGRETARIO
MANFREDI,MANFREDO,8,VICEPRESIDENTE
MANNINO,CALOGERO,8,VICEPRESIDENTE
MELLINI,MAURO,7,VICEPRESIDENTE
MELLINI,MAURO,7,PRESIDENTE
MELLINI,MAURO,9,VICEPRESIDENTE
PANNELLA,GIACINTO,7,PRESIDENTE
PANNELLA,GIACINTO,8,PRESIDENTE
PANNELLA,GIACINTO,9,PRESIDENTE
ROBALDO,VITALE,8,SEGRETARIO
SEGNI,MARIOTTO GIOVANNI BATTISTA,8,VICEPRESIDENTE
SEGNI,MARIOTTO GIOVANNI BATTISTA,9,VICEPRESIDENTE
SPAVENTA,LUIGI,7,SEGRETARIO
SPINELLI,ALTIERO,7,PRESIDENTE
VERNOLA,NICOLA,8,VICEPRESIDENTE
VIZZINI,CARLO,7,SEGRETARIO
ZARRO,GIOVANNI,8,SEGRETARIO
ZARRO,GIOVANNI,9,VICEPRESIDENTE
ZUECH,GIUSEPPE,9,SEGRETARIO
PINTO,DOMENICO,8,VICEPRESIDENTE
ALPINO,GIUSEPPE,4,MEMBRO DEL C.D.
BUTTE',ALESSANDRO,4,MEMBRO DEL C.D.
PASSONI,LUIGI,5,VICEPRESIDENTE
SEPPIA,MAURO,8,VICEPRESIDENTE
CERAVOLO,DOMENICO,5,PRESIDENTE
ALINI,WALTER,4,MEMBRO DEL C.D.
LOPERFIDO,FRANCESCO,4,MEMBRO DEL C.D.
ARIOSTO,EGIDIO,4,MEMBRO DEL C.D.
ARIOSTO,EGIDIO,4,VICEPRESIDENTE
ARMAROLI,SILVANO,4,MEMBRO DEL C.D.
BELOTTI,GIUSEPPE,4,VICEPRESIDENTE
COLUCCI,FRANCESCO,7,SEGRETARIO
COLUCCI,FRANCESCO,9,VICEPRESIDENTE
BETTIOL,GIUSEPPE MARIA,4,MEMBRO DEL C.D.
BIAGGI,FRANCANTONIO,4,MEMBRO DEL C.D.
AMADEI,GIUSEPPE,4,MEMBRO DEL C.D.
AMADEI,GIUSEPPE,4,SEGRETARIO
CAPUA,ANTONIO,4,MEMBRO DEL C.D.
CHIAROMONTE,GERARDO,4,MEMBRO DEL C.D.
CODIGNOLA,TRISTANO,4,MEMBRO DEL C.D.
COLLESELLI,ARNALDO,4,MEMBRO DEL C.D.
COLLESELLI,ARNALDO,4,VICEPRESIDENTE
DAMICO,VITO,5,SEGRETARIO
DAMICO,VITO,6,SEGRETARIO
LATTANZI,GIANGIACOMO,5,SEGRETARIO
LEOPARDI DITTAIUTI,GIULIO,4,SEGRETARIO
LEOPARDI DITTAIUTI,GIULIO,4,VICESEGRETARIO
AMADEO,ALDO,5,VICESEGRETARIO
AMADEO,ALDO,5,SEGRETARIO
AMADEO,ALDO,6,VICEPRESIDENTE
COTTONE,BENEDETTO,4,MEMBRO DEL C.D.
COTTONE,BENEDETTO,5,VICEPRESIDENTE
COTTONE,BENEDETTO,6,VICEPRESIDENTE
COVELLI,ALFREDO,4,PRESIDENTE
COVELLI,ALFREDO,5,PRESIDENTE
MONTANARI,OTELLO,3,MEMBRO DEL C.D.
CRAXI,BENEDETTO,7,PRESIDENTE
NENNI,PIETRO,3,PRESIDENTE
NENNI,PIETRO,4,PRESIDENTE
OGNIBENE,RENATO,4,MEMBRO DEL C.D.
PAOLICCHI,LUCIANO,3,MEMBRO DEL C.D.
PAOLICCHI,LUCIANO,4,MEMBRO DEL C.D.
CRISTOFORI,ADOLFO LORIS,9,VICEPRESIDENTE
PIERACCINI,GIOVANNI,3,MEMBRO DEL C.D.
RIPAMONTI,CAMILLO,4,MEMBRO DEL C.D.
D'ALEMA,GIUSEPPE,4,MEMBRO DEL C.D.
D'ALEMA,GIUSEPPE,6,VICEPRESIDENTE
D'ALESSIO,ALDO,4,SEGRETARIO
D'ALESSIO,ALDO,5,SEGRETARIO
SARAGAT,GIUSEPPE,3,PRESIDENTE
SARAGAT,GIUSEPPE,4,PRESIDENTE
SARTI,ADOLFO,3,MEMBRO DEL C.D.
SCARPA,SERGIO,3,MEMBRO DEL C.D.
SCARPA,SERGIO,4,MEMBRO DEL C.D.
ANDREOTTI,GIULIO,5,PRESIDENTE
DALL'ARMELLINA,MICHELANGELO,4,MEMBRO DEL C.D.
DALL'ARMELLINA,MICHELANGELO,6,SEGRETARIO
COSSIGA,FRANCESCO,4,MEMBRO DEL C.D.
DUJANY,CESARE,9,PRESIDENTE
DUJANY,CESARE,9,VICEPRESIDENTE
GUARRA,ANTONIO,7,VICEPRESIDENTE
LAMA,LUCIANO,3,MEMBRO DEL C.D.
LAMA,LUCIANO,4,MEMBRO DEL C.D.
MINUCCI,ADALBERTO,9,VICEPRESIDENTE
PICCOLI,FLAMINIO,3,MEMBRO DEL C.D.
PICCOLI,FLAMINIO,4,MEMBRO DEL C.D.
PICCOLI,FLAMINIO,6,PRESIDENTE
PICCOLI,FLAMINIO,7,PRESIDENTE
RIZ,ROLAND,6,VICEPRESIDENTE
RIZ,ROLAND,7,VICEPRESIDENTE
RIZ,ROLAND,8,VICEPRESIDENTE
RIZ,ROLAND,9,VICEPRESIDENTE
TOROS,MARIO,4,MEMBRO DEL C.D.
USVARDI,GIANNI,4,MEMBRO DEL C.D.
USVARDI,GIANNI,5,SEGRETARIO
VAJA,KARL,4,SEGRETARIO
VALITUTTI,SALVATORE,4,MEMBRO DEL C.D.
VALORI,DARIO,4,MEMBRO DEL C.D.
VIDALI,VITTORIO,3,MEMBRO DEL C.D.
ZUCALLI,LANFRANCO,4,MEMBRO DEL C.D.
ZUGNO,FAUSTINO,3,MEMBRO DEL C.D.
ZUGNO,FAUSTINO,4,MEMBRO DEL C.D.
DE CATALDO,FRANCESCO,7,VICEPRESIDENTE
CICCIOMESSERE,ROBERTO,8,VICEPRESIDENTE
CICCIOMESSERE,ROBERTO,9,PRESIDENTE
TERRANA,EMANUELE,5,SEGRETARIO
D'AQUINO,SAVERIO,7,VICEPRESIDENTE
AMODEO,NATALE,9,SEGRETARIO
BASSANINI,FRANCO,9,VICEPRESIDENTE
CAFIERO,LUCA,9,PRESIDENTE
CASALINUOVO,MARIO,8,VICEPRESIDENTE
DE' COCCI,DANILO,3,MEMBRO DEL C.D.
DE' COCCI,DANILO,4,MEMBRO DEL C.D.
CUOJATI,GIOVANNI,8,SEGRETARIO
CUOJATI,GIOVANNI,9,SEGRETARIO
FIANDROTTI,FILIPPO,8,VICEPRESIDENTE
GALANTE GARRONE,CARLO,8,PRESIDENTE
DELFINO,RAFFAELE,3,MEMBRO DEL C.D.
DELFINO,RAFFAELE,6,SEGRETARIO
DELFINO,RAFFAELE,6,VICEPRESIDENTE
DELFINO,RAFFAELE,7,VICEPRESIDENTE
DELFINO,RAFFAELE,7,PRESIDENTE
GIANNI,ALFONSO,8,VICEPRESIDENTE
GITTI,TARCISIO,9,VICEPRES. VICARIO
DELLA BRIOTTA,LIBERO,4,MEMBRO DEL C.D.
DELLA BRIOTTA,LIBERO,5,SEGRETARIO
DELLA BRIOTTA,LIBERO,6,SEGRETARIO
LAGORIO,LELIO,9,PRESIDENTE
MARTINAT,UGO,9,SEGRETARIO
DE LORENZO,FERRUCCIO,6,VICEPRESIDENTE
MINERVINI,GUSTAVO,9,VICEPRESIDENTE
DEL PENNINO,ANTONIO,6,SEGRETARIO
DEL PENNINO,ANTONIO,7,SEGRETARIO
DEL PENNINO,ANTONIO,8,VICEPRESIDENTE
DEL PENNINO,ANTONIO,9,VICEPRESIDENTE
RAFFAELLI,MARIO,8,SEGRETARIO
RAFFAELLI,MARIO,8,VICEPRESIDENTE
RALLO,GIROLAMO,8,SEGRETARIO
RALLO,GIROLAMO,9,SEGRETARIO
RIZZO,ALDO,8,SEGRETARIO
RIZZO,ALDO,9,SEGRETARIO
ROCCELLA,FRANCESCO,8,VICEPRESIDENTE
RODOTA',STEFANO,9,PRESIDENTE
RUBINACCI,GIUSEPPE,8,SEGRETARIO
SACCONI,MAURIZIO,10,VICEPRESIDENTE
SOSPIRI,NINO,11,MEMBRO DEL C.D.
SPINI,VALDO,12,VICEPRESIDENTE
SPINI,VALDO,14,MEMBRO DEL C.D.
SPINI,VALDO,15,VICEPRESIDENTE
SPINI,VALDO,15,RAPPRESENTANTE COMPONENTE GRUPPO MISTO
SPINI,VALDO,15,DELEGATO D'AULA
TATARELLA,GIUSEPPE,11,PRESIDENTE
TATARELLA,GIUSEPPE,12,PRESIDENTE
TATARELLA,GIUSEPPE,13,PRESIDENTE
TEODORI,MASSIMO,10,VICEPRESIDENTE
VIOLANTE,LUCIANO,10,VICEPRESIDENTE
VIOLANTE,LUCIANO,11,VICEPRES. VICARIO
VIOLANTE,LUCIANO,14,PRESIDENTE
VIOLANTE,LUCIANO,14,MEMBRO DEL C.D.
VISCARDI,MICHELE,11,VICEPRESIDENTE
EBNER,MICHL,10,VICEPRESIDENTE
CRUCIANELLI,FAMIANO,12,PRESIDENTE
CRUCIANELLI,FAMIANO,14,MEMBRO DEL C.D.
